Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Krafft, C., Dietzek, B., Schmitt, M., Popp, J.","7005313864; 14031248600; 57087375800; 7103251673","Raman and coherent anti-Stokes Raman scattering microspectroscopy for biomedical applications",2012,"Journal of Biomedical Optics",17,"4", 040801,,,,108,10.1117/1.JBO.17.4.040801,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84865585238&partnerID=40&md5=994545e2cddbcd0fca32828ad6e33f90",Article,Final,Open Access,Scopus,2-s2.0-84865585238
"Cai, F., He, S.","35114425600; 36048024500","Using graphics processing units to accelerate perturbation Monte Carlo simulation in a turbid medium",2012,"Journal of Biomedical Optics",17,"4", 040502,,,,20,10.1117/1.JBO.17.4.040502,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84865583133&partnerID=40&md5=152266c283677639da0e70fee4a99115",Article,Final,Open Access,Scopus,2-s2.0-84865583133
"Romero, L.A., Millán, M.S., Jaroszewicz, Z., Kolodziejczyk, A.","36142156300; 7201466399; 7006308488; 7004989645","Double peacock eye optical element for extended focal depth imaging with ophthalmic applications",2012,"Journal of Biomedical Optics",17,"4", 046013-1,,,,10,10.1117/1.JBO.17.4.046013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84863563654&partnerID=40&md5=c856f202c72f91b8e407f21f488c20f0",Article,Final,Open Access,Scopus,2-s2.0-84863563654
"Tang, M., Wang, L., Koch, D.D., Li, Y., Huang, D.","10145039300; 57028540900; 7201690809; 36077898400; 35310666200","Intraocular lens power calculation after previous myopic laser vision correction based on corneal power measured by Fourier-domain optical coherence tomography",2012,"Journal of Cataract and Refractive Surgery",38,"4",,589,594,,43,10.1016/j.jcrs.2011.11.025,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84863386026&partnerID=40&md5=94af7fe20e5125fa4dd5ebd39aaa58b0",Article,Final,,Scopus,2-s2.0-84863386026
"Chen, X., Nadiarynkh, O., Plotnikov, S., Campagnola, P.J.","57214359262; 55276674800; 57207599188; 6603782121","Second harmonic generation microscopy for quantitative analysis of collagen fibrillar structure",2012,"Nature Protocols",7,"4",,654,669,,472,10.1038/nprot.2012.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84863238548&partnerID=40&md5=57c757637e6782c836977df1a2328927",Article,Final,,Scopus,2-s2.0-84863238548
"Toomre, D.","6602451497","Cellular imaging using total internal reflection fluorescence microscopy: Theory and instrumentation",2012,"Cold Spring Harbor Protocols",7,"4",,414,424,,8,10.1101/pdb.top068650,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84860593057&partnerID=40&md5=882bae7a60787fefa90a777985851768",Article,Final,,Scopus,2-s2.0-84860593057
"Soda, M., Yaguchi, S.","16239920900; 7004526099","Effect of decentration on the optical performance in multifocal intraocular lenses",2012,"Ophthalmologica",227,"4",,197,204,,45,10.1159/000333820,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84860491218&partnerID=40&md5=1516b00534169e001872db60aac74eac",Article,Final,Open Access,Scopus,2-s2.0-84860491218
"D'Alba, L., Kieffer, L., Shawkey, M.D.","16315912400; 55196148400; 6602306965","Relative contributions of pigments and biophotonic nanostructures to natural color production: A case study in budgerigar (Melopsittacus undulatus) feathers",2012,"Journal of Experimental Biology",215,"8",,1272,1277,,44,10.1242/jeb.064907,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84860159920&partnerID=40&md5=869c3be0ec872feade1505280eb28744",Article,Final,Open Access,Scopus,2-s2.0-84860159920
"Geschwindner, S., Carlsson, J.F., Knecht, W.","23003967300; 55194650400; 26643243500","Application of optical biosensors in small-molecule screening activities",2012,"Sensors",12,"4",,4311,4323,,40,10.3390/s120404311,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84860124363&partnerID=40&md5=efe34b982131a173c043a35566568d18",Review,Final,Open Access,Scopus,2-s2.0-84860124363
"Han, D.P., Croskrey, J.A., Dubis, A.M., Schroeder, B., Rha, J., Carroll, J.","7403219835; 54978436700; 34876470600; 57198127297; 8508662100; 7402034918","Adaptive optics and spectral-domain optical coherence tomography of human photoreceptor structure after short-duration pascal macular grid and panretinal laser photocoagulation",2012,"Archives of Ophthalmology",130,"4",,518,521,,12,10.1001/archophthalmol.2011.2878,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859975612&partnerID=40&md5=a8f0502edc1909c8127998cc0e520772",Article,Final,Open Access,Scopus,2-s2.0-84859975612
"Turnbull, D.J., Parisi, A.V.","7201359636; 7102752359","Potential dosemeter for quantifying biologically effective blue light exposures",2012,"Radiation Protection Dosimetry",149,"3", ncr251,245,250,,2,10.1093/rpd/ncr251,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859849225&partnerID=40&md5=0b05dc86fb83cd850d57769735ed919e",Article,Final,,Scopus,2-s2.0-84859849225
"Kalmbach, A., Hedrick, T., Waters, J.","34570253900; 36443706600; 7202796568","Selective optogenetic stimulation of cholinergic axons in neocortex",2012,"Journal of Neurophysiology",107,"7",,2008,2019,,68,10.1152/jn.00870.2011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859552807&partnerID=40&md5=ce70d7f5f0565bdc103edf9947daa486",Article,Final,,Scopus,2-s2.0-84859552807
"Arroyo, R., Crespo, D., Alonso, J.","55174688200; 56901960700; 57213152685","Scoring of progressive power lenses by means of user power maps",2012,"Optometry and Vision Science",89,"4",,E489,E501,,10,10.1097/OPX.0b013e31824c16fa,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859361697&partnerID=40&md5=447ea34fccaffc09157532487586811b",Article,Final,,Scopus,2-s2.0-84859361697
"Kim, D.W., Chung, W.K., Shin, D.O., Yoon, M., Hwang, U.-J., Rah, J.-E., Jeong, H., Lee, S.Y., Shin, D., Lee, S.B., Park, S.Y.","56109803100; 55162531100; 56568636100; 16679959300; 36813411300; 24734252500; 36813735800; 57192515031; 55709731000; 15026501100; 7501829887","Dose response of commercially available optically stimulated luminescent detector, Al <inf>2</inf>O <inf>3</inf>:C for megavoltage photons and electrons",2012,"Radiation Protection Dosimetry",149,"2", ncr223,101,108,,17,10.1093/rpd/ncr223,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859244825&partnerID=40&md5=c492a9f0f137ff1fe1191d7f9b941222",Article,Final,,Scopus,2-s2.0-84859244825
"Suter, M.J., Lam, S., Brenner, M.","9250095600; 55193690600; 35499949400","Optical techniques in pulmonary medicine",2012,"Expert Review of Respiratory Medicine",6,"2",,143,145,,3,10.1586/ers.12.11,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84859182099&partnerID=40&md5=ce55e468850e4a0c51f8d32d4c02449d",Conference Paper,Final,,Scopus,2-s2.0-84859182099
"Olsen, T., Funding, M.","7201975411; 8571793900","Ray-tracing analysis of intraocular lens power in situ",2012,"Journal of Cataract and Refractive Surgery",38,"4",,641,647,,20,10.1016/j.jcrs.2011.10.035,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84858828634&partnerID=40&md5=1318fc10c8b5a37a5d200669b0e17470",Article,Final,,Scopus,2-s2.0-84858828634
